timestamp,date,hour,day_name,location_id,road_name,latitude,longitude,vehicle_count,car_count,motorcycle_count,bus_count,truck_count,average_speed,road_occupancy,weather_condition,traffic_density,congestion_level,predicted_congestion,predicted_congestion_level,vehicle_cluster,cluster_interpretation,anomaly_label,anomaly_score
2026-05-01 03:00:00,2026-05-01,3,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,49,15,25,2,7,53.76,34.7,Cloudy,17.0,Low,17.34,Low,0,Light Traffic,Normal,0.0812
2026-05-01 03:15:00,2026-05-01,3,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,41,12,23,1,5,47.1,21.28,Rainy,8.72,Low,8.76,Low,0,Light Traffic,Normal,0.1318
2026-05-01 03:30:00,2026-05-01,3,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,37,10,23,1,3,44.8,16.61,Cloudy,6.15,Medium,6.23,Low,0,Light Traffic,Normal,0.1002
2026-05-01 03:45:00,2026-05-01,3,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,58,16,29,1,12,46.16,33.87,Rainy,19.64,Low,19.5,Low,0,Light Traffic,Normal,0.1188
2026-05-01 04:00:00,2026-05-01,4,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,41,12,25,2,2,56.8,21.23,Clear,8.7,Low,8.74,Low,0,Light Traffic,Normal,0.1169
2026-05-01 04:15:00,2026-05-01,4,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,38,10,19,1,8,56.68,22.42,Clear,8.52,Low,8.38,Low,0,Light Traffic,Normal,0.1131
2026-05-01 04:30:00,2026-05-01,4,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,43,11,24,1,7,45.31,26.15,Rainy,11.24,Low,11.26,Low,0,Light Traffic,Normal,0.1195
2026-05-01 04:45:00,2026-05-01,4,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,51,15,27,2,7,45.28,27.96,Rainy,14.26,Low,14.15,Low,0,Light Traffic,Normal,0.1344
2026-05-01 05:00:00,2026-05-01,5,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,86,21,46,3,16,37.39,44.48,Foggy,38.25,Medium,37.88,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1395
2026-05-01 05:15:00,2026-05-01,5,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,85,28,46,2,9,43.61,41.38,Clear,35.17,Medium,35.55,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1141
2026-05-01 05:30:00,2026-05-01,5,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,278,88,141,14,35,4.62,91.0,Clear,252.98,Severe,255.35,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.0857
2026-05-01 05:45:00,2026-05-01,5,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,122,31,70,6,15,22.54,64.95,Rainy,79.24,High,79.18,High,1,Motorcycle-Dominant Traffic,Normal,0.1142
2026-05-01 06:00:00,2026-05-01,6,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,171,43,102,6,20,12.24,98.25,Rainy,168.01,Severe,167.88,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0667
2026-05-01 06:15:00,2026-05-01,6,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,128,40,67,4,17,26.87,69.5,Cloudy,88.96,High,90.38,High,3,Motorcycle-Dominant Traffic,Normal,0.135
2026-05-01 06:30:00,2026-05-01,6,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,161,49,100,6,6,19.83,87.82,Clear,141.39,Severe,141.12,Severe,1,Motorcycle-Dominant Traffic,Normal,0.099
2026-05-01 06:45:00,2026-05-01,6,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,159,53,99,7,0,12.8,80.62,Rainy,128.19,Severe,128.23,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0566
2026-05-01 07:00:00,2026-05-01,7,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,165,54,104,7,0,21.94,92.8,Cloudy,153.12,Severe,152.72,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0892
2026-05-01 07:15:00,2026-05-01,7,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,184,47,92,8,37,20.46,100.0,Foggy,184.0,Severe,183.65,Severe,1,Motorcycle-Dominant Traffic,Normal,0.061
2026-05-01 07:30:00,2026-05-01,7,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,114,31,69,3,11,33.13,67.18,Foggy,76.59,High,76.89,High,3,Motorcycle-Dominant Traffic,Normal,0.1415
2026-05-01 07:45:00,2026-05-01,7,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,132,41,82,5,4,28.02,69.56,Cloudy,91.82,High,91.62,High,3,Motorcycle-Dominant Traffic,Normal,0.1308
2026-05-01 08:00:00,2026-05-01,8,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,129,37,83,7,2,21.49,77.71,Rainy,100.25,High,100.11,High,1,Motorcycle-Dominant Traffic,Normal,0.1139
2026-05-01 08:15:00,2026-05-01,8,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,166,51,95,6,14,18.0,87.94,Rainy,145.98,Severe,146.31,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0794
2026-05-01 08:30:00,2026-05-01,8,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,151,50,93,8,0,27.43,80.49,Cloudy,121.54,High,121.29,Severe,1,Motorcycle-Dominant Traffic,Normal,0.1011
2026-05-01 08:45:00,2026-05-01,8,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,157,52,97,8,0,20.86,76.31,Cloudy,119.81,High,118.28,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0932
2026-05-01 09:00:00,2026-05-01,9,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,141,43,74,8,16,27.18,81.48,Foggy,114.89,High,115.41,Severe,1,Motorcycle-Dominant Traffic,Normal,0.1061
2026-05-01 09:15:00,2026-05-01,9,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,141,43,72,8,18,21.98,72.62,Rainy,102.39,High,101.83,High,1,Motorcycle-Dominant Traffic,Normal,0.1114
2026-05-01 09:30:00,2026-05-01,9,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,147,47,88,5,7,27.49,86.19,Rainy,126.7,Severe,126.4,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0882
2026-05-01 09:45:00,2026-05-01,9,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,104,35,64,5,0,41.06,77.04,Clear,80.12,High,85.21,High,3,Motorcycle-Dominant Traffic,Normal,0.0415
2026-05-01 10:00:00,2026-05-01,10,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,86,28,52,4,2,48.04,42.01,Clear,36.13,Medium,36.5,Medium,3,Motorcycle-Dominant Traffic,Normal,0.0917
2026-05-01 10:15:00,2026-05-01,10,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,62,19,31,1,11,52.76,25.11,Foggy,15.57,Low,15.85,Low,0,Light Traffic,Normal,0.0867
2026-05-01 10:30:00,2026-05-01,10,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,78,19,39,4,16,36.96,38.87,Clear,30.32,Medium,30.14,Low,3,Motorcycle-Dominant Traffic,Normal,0.1215
2026-05-01 10:45:00,2026-05-01,10,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,95,31,54,2,8,30.33,53.86,Rainy,51.17,Medium,51.2,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1442
2026-05-01 11:00:00,2026-05-01,11,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,110,34,63,5,8,28.89,61.19,Foggy,67.31,High,67.6,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1454
2026-05-01 11:15:00,2026-05-01,11,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,88,28,48,2,10,33.83,48.32,Foggy,42.52,Medium,43.02,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1363
2026-05-01 11:30:00,2026-05-01,11,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,325,108,176,11,30,4.12,99.62,Rainy,323.76,Severe,318.79,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.1388
2026-05-01 11:45:00,2026-05-01,11,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,81,25,49,2,5,50.24,50.16,Cloudy,40.63,Medium,40.96,Medium,0,Motorcycle-Dominant Traffic,Normal,0.0662
2026-05-01 12:00:00,2026-05-01,12,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,109,35,60,2,12,27.81,59.37,Rainy,64.71,High,64.49,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1368
2026-05-01 12:15:00,2026-05-01,12,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,139,41,71,5,22,23.24,70.98,Foggy,98.66,High,98.41,High,1,Motorcycle-Dominant Traffic,Normal,0.1155
2026-05-01 12:30:00,2026-05-01,12,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,223,76,125,4,18,11.2,96.15,Foggy,214.41,Severe,219.17,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0054
2026-05-01 12:45:00,2026-05-01,12,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,116,36,72,3,5,33.8,61.44,Cloudy,71.27,Medium,71.5,High,3,Motorcycle-Dominant Traffic,Normal,0.1449
2026-05-01 13:00:00,2026-05-01,13,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,111,34,71,3,3,29.71,58.59,Foggy,65.03,High,65.11,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1438
2026-05-01 13:15:00,2026-05-01,13,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,139,47,80,4,8,31.37,74.11,Clear,103.01,High,102.61,High,3,Motorcycle-Dominant Traffic,Normal,0.1132
2026-05-01 13:30:00,2026-05-01,13,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,117,29,73,6,9,30.78,61.89,Cloudy,72.41,Medium,72.51,High,3,Motorcycle-Dominant Traffic,Normal,0.1463
2026-05-01 13:45:00,2026-05-01,13,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,106,33,64,5,4,35.75,62.04,Foggy,65.76,Medium,65.16,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1397
2026-05-01 14:00:00,2026-05-01,14,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,75,24,45,4,2,44.01,32.73,Clear,24.55,Medium,24.03,Low,3,Motorcycle-Dominant Traffic,Normal,0.1038
2026-05-01 14:15:00,2026-05-01,14,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,54,15,33,3,3,44.63,35.49,Foggy,19.16,Medium,19.1,Low,0,Light Traffic,Normal,0.1202
2026-05-01 14:30:00,2026-05-01,14,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,107,36,55,4,12,35.5,56.83,Foggy,60.81,Medium,60.95,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1505
2026-05-01 14:45:00,2026-05-01,14,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,117,33,74,2,8,29.05,64.35,Rainy,75.29,High,74.77,High,3,Motorcycle-Dominant Traffic,Normal,0.1438
2026-05-01 15:00:00,2026-05-01,15,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,86,25,51,2,8,45.88,53.8,Clear,46.27,Medium,45.98,Medium,3,Motorcycle-Dominant Traffic,Normal,0.098
2026-05-01 15:15:00,2026-05-01,15,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,104,34,63,5,2,30.95,53.29,Rainy,55.42,Medium,55.96,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1415
2026-05-01 15:30:00,2026-05-01,15,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,70,23,39,2,6,44.79,41.96,Clear,29.37,Medium,29.42,Low,0,Motorcycle-Dominant Traffic,Normal,0.1206
2026-05-01 15:45:00,2026-05-01,15,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,96,24,49,4,19,33.12,54.49,Foggy,52.31,Medium,51.76,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1485
2026-05-01 16:00:00,2026-05-01,16,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,151,51,92,8,0,16.37,78.9,Foggy,119.14,High,119.83,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0879
2026-05-01 16:15:00,2026-05-01,16,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,230,75,117,9,29,5.0,100.0,Rainy,230.0,Severe,224.34,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.0232
2026-05-01 16:30:00,2026-05-01,16,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,160,47,80,3,30,17.99,95.24,Cloudy,152.38,Severe,150.27,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0872
2026-05-01 16:45:00,2026-05-01,16,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,162,56,95,5,6,27.26,87.99,Clear,142.54,Severe,142.06,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0799
2026-05-01 17:00:00,2026-05-01,17,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,134,40,68,7,19,28.55,85.82,Cloudy,115.0,Severe,118.41,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0836
2026-05-01 17:15:00,2026-05-01,17,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,184,54,111,8,11,14.49,100.0,Rainy,184.0,Severe,183.78,Severe,1,Motorcycle-Dominant Traffic,Normal,0.085
2026-05-01 17:30:00,2026-05-01,17,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,170,45,92,6,27,19.27,99.61,Clear,169.34,Severe,167.16,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0688
2026-05-01 17:45:00,2026-05-01,17,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,169,58,86,10,15,16.12,100.0,Rainy,169.0,Severe,168.31,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0704
2026-05-01 18:00:00,2026-05-01,18,Friday,LOC_004,Jl. Merdeka,2.3402,99.0752,119,31,71,6,11,32.94,52.99,Clear,63.06,Medium,68.52,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1194
2026-05-01 18:15:00,2026-05-01,18,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,231,79,129,12,11,5.0,100.0,Rainy,231.0,Severe,228.34,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.0228
2026-05-01 18:30:00,2026-05-01,18,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,113,37,71,5,0,39.67,49.41,Cloudy,55.83,Medium,56.66,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1059
2026-05-01 18:45:00,2026-05-01,18,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,168,42,90,9,27,20.02,93.57,Rainy,157.2,Severe,157.75,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0813
2026-05-01 19:00:00,2026-05-01,19,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,147,38,83,8,18,30.74,74.82,Clear,109.99,High,109.48,High,1,Motorcycle-Dominant Traffic,Normal,0.1
2026-05-01 19:15:00,2026-05-01,19,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,203,63,121,6,13,9.58,52.99,Foggy,107.57,Severe,101.73,High,1,Motorcycle-Dominant Traffic,Anomaly,-0.0607
2026-05-01 19:30:00,2026-05-01,19,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,198,66,114,8,10,12.96,100.0,Cloudy,198.0,Severe,199.26,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0509
2026-05-01 19:45:00,2026-05-01,19,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,167,43,93,3,28,19.83,99.62,Foggy,166.37,Severe,166.51,Severe,1,Motorcycle-Dominant Traffic,Normal,0.0697
2026-05-01 20:00:00,2026-05-01,20,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,77,19,40,2,16,45.49,52.99,Cloudy,40.8,Medium,39.32,Medium,0,Motorcycle-Dominant Traffic,Normal,0.0855
2026-05-01 20:15:00,2026-05-01,20,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,97,33,54,3,7,40.76,54.26,Foggy,52.63,Medium,52.49,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1315
2026-05-01 20:30:00,2026-05-01,20,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,103,35,64,2,2,30.73,57.15,Cloudy,58.86,Medium,59.23,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1542
2026-05-01 20:45:00,2026-05-01,20,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,90,26,48,5,11,36.96,49.55,Foggy,44.6,Medium,44.68,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1491
2026-05-01 21:00:00,2026-05-01,21,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,64,16,32,1,15,45.68,30.05,Foggy,19.23,Low,18.75,Low,0,Light Traffic,Normal,0.114
2026-05-01 21:15:00,2026-05-01,21,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,103,34,56,4,9,29.31,59.74,Foggy,61.53,High,61.38,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1435
2026-05-01 21:30:00,2026-05-01,21,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,93,24,48,2,19,35.58,44.5,Cloudy,41.38,Medium,41.6,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1369
2026-05-01 21:45:00,2026-05-01,21,Friday,LOC_002,Jl. Sudirman,2.3348,99.0701,77,23,42,3,9,42.95,43.85,Clear,33.76,Medium,33.74,Low,3,Motorcycle-Dominant Traffic,Normal,0.1322
2026-05-01 22:00:00,2026-05-01,22,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,33,10,20,0,3,55.87,15.6,Clear,5.15,Low,5.04,Low,0,Light Traffic,Normal,0.1087
2026-05-01 22:15:00,2026-05-01,22,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,29,9,16,1,3,61.33,14.87,Cloudy,4.31,Low,4.38,Low,0,Light Traffic,Normal,0.045
2026-05-01 22:30:00,2026-05-01,22,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,51,15,29,1,6,50.5,35.95,Cloudy,18.33,Low,18.45,Low,0,Light Traffic,Normal,0.0899
2026-05-01 22:45:00,2026-05-01,22,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,18,4,9,0,5,57.91,5.0,Clear,0.9,Low,0.96,Low,0,Light Traffic,Anomaly,-0.0412
2026-05-01 23:00:00,2026-05-01,23,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,70,20,43,1,6,48.03,50.76,Cloudy,35.53,Medium,35.12,Medium,0,Motorcycle-Dominant Traffic,Normal,0.092
2026-05-01 23:15:00,2026-05-01,23,Friday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,59,17,36,1,5,46.75,25.86,Clear,15.26,Low,15.56,Low,0,Light Traffic,Normal,0.1166
2026-05-01 23:30:00,2026-05-01,23,Friday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,46,16,25,2,3,61.14,23.75,Clear,10.92,Low,11.0,Low,0,Light Traffic,Normal,0.0524
2026-05-01 23:45:00,2026-05-01,23,Friday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,41,11,21,1,8,49.38,18.46,Cloudy,7.57,Low,7.41,Low,0,Light Traffic,Normal,0.1185
2026-05-02 00:00:00,2026-05-02,0,Saturday,LOC_003,Jl. Gatot Subroto,2.3375,99.0729,40,13,22,0,5,45.68,24.17,Foggy,9.67,Low,9.74,Low,0,Light Traffic,Normal,0.123
2026-05-02 00:15:00,2026-05-02,0,Saturday,LOC_002,Jl. Sudirman,2.3348,99.0701,40,13,25,1,1,54.0,17.33,Cloudy,6.93,Low,6.95,Low,0,Light Traffic,Normal,0.1091
2026-05-02 00:30:00,2026-05-02,0,Saturday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,50,13,29,2,6,49.51,24.95,Foggy,12.48,Low,12.61,Low,0,Light Traffic,Normal,0.1282
2026-05-02 00:45:00,2026-05-02,0,Saturday,LOC_002,Jl. Sudirman,2.3348,99.0701,33,9,18,0,6,51.79,13.81,Foggy,4.56,Low,4.57,Low,0,Light Traffic,Normal,0.0978
2026-05-02 01:00:00,2026-05-02,1,Saturday,LOC_004,Jl. Merdeka,2.3402,99.0752,39,11,20,1,7,45.6,20.92,Cloudy,8.16,Low,8.16,Low,0,Light Traffic,Normal,0.127
2026-05-02 01:15:00,2026-05-02,1,Saturday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,42,10,21,2,9,58.53,20.45,Clear,8.59,Low,8.61,Low,0,Light Traffic,Normal,0.0987
2026-05-02 01:30:00,2026-05-02,1,Saturday,LOC_004,Jl. Merdeka,2.3402,99.0752,47,14,28,1,4,40.73,17.26,Rainy,8.11,Medium,8.04,Low,0,Light Traffic,Normal,0.0761
2026-05-02 01:45:00,2026-05-02,1,Saturday,LOC_004,Jl. Merdeka,2.3402,99.0752,22,7,14,1,0,54.98,9.2,Foggy,2.02,Low,2.2,Low,0,Light Traffic,Normal,0.0122
2026-05-02 02:00:00,2026-05-02,2,Saturday,LOC_004,Jl. Merdeka,2.3402,99.0752,31,10,18,0,3,56.63,14.25,Clear,4.42,Low,4.49,Low,0,Light Traffic,Normal,0.0965
2026-05-02 02:15:00,2026-05-02,2,Saturday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,54,14,28,2,10,52.66,40.38,Clear,21.81,Medium,22.69,Low,0,Light Traffic,Normal,0.0776
2026-05-02 02:30:00,2026-05-02,2,Saturday,LOC_004,Jl. Merdeka,2.3402,99.0752,47,15,26,1,5,43.95,52.99,Rainy,24.91,Medium,24.56,Low,0,Light Traffic,Normal,0.0673
2026-05-02 02:45:00,2026-05-02,2,Saturday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,324,94,189,10,31,11.47,98.62,Cloudy,319.53,Severe,303.78,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.1303
2026-05-02 03:00:00,2026-05-02,3,Saturday,LOC_002,Jl. Sudirman,2.3348,99.0701,51,15,32,1,3,40.41,29.16,Cloudy,14.87,Medium,14.73,Low,0,Light Traffic,Normal,0.1229
2026-05-02 03:15:00,2026-05-02,3,Saturday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,313,84,165,9,55,6.74,99.78,Foggy,312.31,Severe,305.13,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.1185
2026-05-02 03:30:00,2026-05-02,3,Saturday,LOC_002,Jl. Sudirman,2.3348,99.0701,48,13,25,1,9,47.99,52.99,Foggy,25.44,Medium,25.13,Low,0,Light Traffic,Normal,0.0414
2026-05-02 03:45:00,2026-05-02,3,Saturday,LOC_002,Jl. Sudirman,2.3348,99.0701,54,15,34,2,3,42.42,25.11,Rainy,13.56,Medium,13.98,Low,0,Light Traffic,Normal,0.1174
2026-05-02 04:00:00,2026-05-02,4,Saturday,LOC_004,Jl. Merdeka,2.3402,99.0752,26,8,13,1,4,57.01,21.37,Cloudy,5.56,Low,5.75,Low,0,Light Traffic,Normal,0.0666
2026-05-02 04:15:00,2026-05-02,4,Saturday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,328,85,166,9,68,3.88,95.27,Foggy,312.49,Severe,310.44,Severe,2,Motorcycle-Dominant Traffic,Anomaly,-0.1317
2026-05-02 04:30:00,2026-05-02,4,Saturday,LOC_005,Jl. Ahmad Yani,2.3429,99.0788,50,15,26,2,7,52.28,52.99,Clear,26.5,Medium,25.72,Low,0,Light Traffic,Normal,0.0148
2026-05-02 04:45:00,2026-05-02,4,Saturday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,48,16,30,2,0,54.92,27.79,Clear,13.34,Low,13.54,Low,0,Light Traffic,Normal,0.1116
2026-05-02 05:00:00,2026-05-02,5,Saturday,LOC_001,Jl. Sisingamangaraja,2.3321,99.0654,90,27,52,3,8,41.39,50.92,Cloudy,45.83,Medium,45.67,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1425
2026-05-02 05:15:00,2026-05-02,5,Saturday,LOC_002,Jl. Sudirman,2.3348,99.0701,93,27,59,2,5,35.97,57.14,Foggy,53.14,Medium,53.76,Medium,3,Motorcycle-Dominant Traffic,Normal,0.1485
